p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio
1.40661060465815e-103	1.83133935310356	0.837	0.524	3.69629134692067e-99	telencephalon	lrig1	1.59619047619048
1.82748777297618e-94	4.48134218873449	0.151	0.011	4.80227236982682e-90	telencephalon	BX072554.1	12.6666666666667
3.24909520964439e-94	3.7257514456353	0.291	0.052	8.53797239190354e-90	telencephalon	adam22	5.50943396226415
7.52803177450076e-94	2.27601039590136	0.595	0.228	1.97821618970331e-89	telencephalon	celf3a	2.60262008733624
6.17345488780376e-88	-2.67860988990058	0.229	0.68	1.62226047541707e-83	telencephalon	meis1b	0.337738619676946
5.4433605739619e-87	1.90433041955505	0.566	0.2	1.43040629162571e-82	telencephalon	sulf1	2.82089552238806
5.65974266942424e-86	4.24945492461057	0.169	0.017	1.4872671786713e-81	telencephalon	nlgn4xa	9.44444444444444
1.80705703917782e-85	2.66522963749876	0.421	0.118	4.74858448755147e-81	telencephalon	srrm4	3.54621848739496
2.35608236162875e-82	-1.24298226132547	0.638	0.936	6.19131322988803e-78	telencephalon	zbtb16a	0.68196371398079
2.66826075244901e-82	3.96074377170802	0.138	0.011	7.01165560528551e-78	telencephalon	insm1b	11.5833333333333
1.01174012255227e-81	1.04448469740148	0.975	0.854	2.65865069404286e-77	telencephalon	nova2	1.14152046783626
1.53829641947024e-80	2.40940513766697	0.343	0.081	4.04233533108391e-76	telencephalon	fezf2	4.19512195121951
2.00331673112362e-79	2.32228659014384	0.413	0.118	5.26431570604664e-75	telencephalon	cyp26c1	3.47899159663866
8.35706955782804e-79	4.12604415594469	0.171	0.02	2.19607073840605e-74	telencephalon	cntnap2b	8.19047619047619
1.18929501002881e-76	1.8280299789581	0.417	0.114	3.12522942735372e-72	telencephalon	vax2	3.63478260869565
1.32696812585198e-76	5.17603463025404	0.085	0.003	3.48700684111384e-72	telencephalon	plcxd3	21.5
1.42943265765431e-73	3.56866998928775	0.145	0.014	3.75626313778399e-69	telencephalon	AL845357.1	9.73333333333333
1.60801101655272e-73	2.23981036036674	0.461	0.155	4.22553134929725e-69	telencephalon	nfasca	2.96153846153846
1.3085422812913e-72	1.58852001326453	0.725	0.399	3.43858740677727e-68	telencephalon	fbrsl1	1.815
2.50612174095788e-72	1.7733824097831	0.645	0.317	6.58558671088913e-68	telencephalon	efnb1	2.0314465408805
1.29316493888658e-70	2.01886520047643	0.465	0.159	3.39817882640617e-66	telencephalon	nr2e1	2.9125
4.08518955534321e-70	3.91468580889081	0.122	0.01	1.07350611135309e-65	telencephalon	gria1b	11.1818181818182
4.16015935161495e-69	-3.37643674931011	0.06	0.494	1.09320667441738e-64	telencephalon	greb1	0.123232323232323
8.37513156646372e-69	1.63041157352816	0.661	0.328	2.20081707303534e-64	telencephalon	fgfrl1a	2.01215805471125
8.68431520973156e-69	2.11680608073039	0.374	0.108	2.28206435081326e-64	telencephalon	bcl11ab	3.44036697247706
1.69429293247946e-68	-1.34989883590098	0.353	0.774	4.45226296796954e-64	telencephalon	cntfr	0.456774193548387
2.90848469874608e-68	1.89973031320346	0.384	0.112	7.64291609136495e-64	telencephalon	pcdh1b	3.4070796460177
9.57687269496008e-66	1.99118283429426	0.419	0.141	2.51661060678161e-61	telencephalon	SEMA4F	2.95774647887324
3.77951047274722e-65	1.19215638994855	0.814	0.534	9.93179762028514e-61	telencephalon	cux1a	1.52336448598131
2.68375409865819e-64	-2.24282447395967	0.167	0.584	7.05236902045399e-60	telencephalon	ptprnb	0.287179487179487
3.31821454069225e-62	2.83890622576832	0.209	0.038	8.71960417003109e-58	telencephalon	pcdh10a	5.38461538461538
4.71168103013919e-62	3.22695073204527	0.202	0.037	1.23813554109998e-57	telencephalon	mpped2	5.3421052631579
1.06505237061258e-61	5.28337566854248	0.066	0.002	2.79874461949574e-57	telencephalon	adamts15a	22.3333333333333
1.29451555166957e-61	6.68117519906513	0.056	0.001	3.40172796667728e-57	telencephalon	emx1	28.5
8.29185652554664e-61	1.92122657663561	0.44	0.162	2.17893405778315e-56	telencephalon	mxi1	2.70552147239264
1.45935271821453e-59	3.06006783890134	0.13	0.015	3.83488707292414e-55	telencephalon	fezf1	8.1875
1.14937507808112e-58	2.75355717046606	0.196	0.036	3.02032783018157e-54	telencephalon	mcama	5.32432432432432
2.57439021890792e-58	3.95852758952656	0.157	0.023	6.76498261724623e-54	telencephalon	nfixb	6.58333333333333
3.57039501571958e-58	1.99195771846865	0.364	0.113	9.38228402230792e-54	telencephalon	lix1	3.20175438596491
7.29717304847721e-58	1.97754276216521	0.467	0.183	1.91755113367884e-53	telencephalon	sox6	2.54347826086957
6.15049936756079e-57	1.74958402777887	0.49	0.203	1.61622822380762e-52	telencephalon	auts2b	2.40686274509804
8.76967671953893e-56	2.50231310685468	0.184	0.033	2.30449564836044e-51	telencephalon	emx2	5.44117647058823
3.59000268204502e-55	1.71040329995855	0.543	0.251	9.43380904787791e-51	telencephalon	dla	2.15873015873016
6.17050657363074e-55	2.00076830628873	0.401	0.148	1.62148571741868e-50	telencephalon	dennd2b	2.69798657718121
1.21484350732738e-54	1.53254695192312	0.535	0.241	3.1923657685549e-50	telencephalon	plxnb1a	2.21487603305785
2.73195069064265e-54	2.16000611592909	0.293	0.081	7.17902002487075e-50	telencephalon	dlb	3.58536585365854
4.51247950152131e-54	1.96700004954385	0.405	0.152	1.18578936340977e-49	telencephalon	mef2aa	2.65359477124183
5.52142036379485e-53	-2.16600238746679	0.153	0.529	1.45091884319801e-48	telencephalon	fgfr1b	0.290566037735849
3.48077795382396e-52	3.46371742231281	0.126	0.016	9.14678830705861e-48	telencephalon	unm-sa1614	7.47058823529412
7.31908633967502e-51	2.14121722161768	0.308	0.095	1.9233095083398e-46	telencephalon	si:dkey-49n23.1	3.21875
1.1072367521458e-49	3.48616684873958	0.151	0.025	2.90959673728872e-45	telencephalon	mapk10	5.84615384615385
4.65858976538247e-49	0.982598697743551	0.847	0.637	1.22418421854721e-44	telencephalon	sipa1l2	1.32915360501567
6.39069227152706e-49	3.65324086453659	0.091	0.008	1.67934611511188e-44	telencephalon	arxa	10.2222222222222
6.817832719432e-49	2.00151098112997	0.409	0.167	1.79159008201234e-44	telencephalon	gas7a	2.44047619047619
8.54847992621216e-49	2.97711418445587	0.149	0.025	2.24636955501003e-44	telencephalon	cpeb2	5.76923076923077
1.96325825396227e-48	-1.21250129850553	0.426	0.748	5.15905003976204e-44	telencephalon	id1	0.570093457943925
2.95905472849324e-47	-1.07205544944205	0.558	0.828	7.77580401553453e-43	telencephalon	pcdh19	0.674306393244873
1.06753491147803e-46	3.7618620151647	0.099	0.011	2.80526824038198e-42	telencephalon	ypel2a	8.33333333333333
3.56653373427532e-46	1.17382149961	0.618	0.334	9.37213734692869e-42	telencephalon	scube3	1.84776119402985
7.5326130021149e-46	3.56589157540927	0.114	0.015	1.97942004469575e-41	telencephalon	nrcama	7.1875
3.52419270901533e-45	-3.314653930951	0.07	0.391	9.26087360075049e-41	telencephalon	pax3a	0.181122448979592
8.20904454562043e-44	1.57341168911429	0.378	0.144	2.15717272569814e-39	telencephalon	ntn1b	2.61379310344828
1.07154920488161e-43	3.82663896883292	0.079	0.007	2.81581700058789e-39	telencephalon	prkd1	10
