BHLHE40 1.78002348361801 5.03151305187685e-14 0.063 3.55555555555556
CLOCKA 0.937727370522094 5.88936137736215e-39 0.542 1.69158878504673
CLOCKB 0.797196201414861 3.38830890617058e-13 0.281 1.73006134969325
CUX2B 1.65664963347902 7.41846497263278e-38 0.174 3.30188679245283
FOXP1B 0.886052720679153 1.66958240978985e-55 0.722 1.58205689277899
HLFA 3.19217667513831 2.28974519959185e-29 0.056 7.125
JUNBB 1.15486431777011 3.26556522147664e-10 0.113 2.28
MNTA 0.756961374348966 1.19589429924874e-09 0.215 1.77049180327869
MYBBP1A 1.2717434478256 1.3986709416788e-96 0.668 1.9792899408284
MYB 2.13897419426558 4.63194274742488e-38 0.138 3.97142857142857
MYBL1 1.77158612434861 3.10482255755263e-31 0.15 3.21276595744681
MYBL1 1.77158612434861 3.10482255755263e-31 0.15 3.21276595744681
MYCN 1.39672475692443 7.82820853019604e-85 0.541 2.28691983122363
NR1D2A 2.07306692079119 7.87239089518766e-52 0.172 4.11904761904762
NR3C2 3.30953961618506 1.4269728946588e-43 0.085 7.16666666666667
PAX6A 0.457281957340835 3.46436582928254e-58 0.768 1.91770573566085
PAX6B 2.14607628937002 3.01194075266857e-270 0.742 3.69651741293532
RORB 4.4324727641356 0 0.63 16.6052631578947
RREB1B 0.875484175365621 1.96302703532705e-15 0.278 1.77707006369427
RXRAA 1.28249288762488 2.06943898613807e-149 0.552 3.43478260869565
SI:CH211-117K10.3 1.04429109324161 1.58180276992243e-09 0.139 2.02898550724638
SIX3A 1.48060409650503 1.86019017567034e-27 0.141 3.15555555555556
SIX3B 2.53387409620869 3.1352958394555e-110 0.255 5.56521739130435
SMAD5 0.879721901755588 4.61957520569708e-14 0.261 1.79452054794521
SP4 1.03410881205695 2.782619929634e-18 0.248 1.9453125
USP44 0.590304955631661 3.29509550400518e-06 0.258 1.52352941176471
SREBF1 0.728881894162977 0.000462915719676512 0.127 1.75342465753425
THRAA 1.06317173985279 2.48873896886127e-14 0.161 2.18918918918919
THRAB 0.941033702662712 1.0191697726158e-35 0.426 1.94977168949772
THRB 0.602352332344008 4.85005654785946e-06 0.261 1.52325581395349
VSX2 5.4479164655567 0 0.494 29.1176470588235
ZIC2B 0.656873915842075 1.18896342897727e-23 0.365 1.89637305699482
