213, "NUPL2 (1)"
214, "NUPL2 (2)"
215, "NUPL2 (3)"
216, "NUPL2 (4)"
217, "NUPL2 (5)"
218, "NUPL2 (6)"
219, "NUPL2 (7)"
220, "orb2"
221, "pAbp"
222, "PABPC1 (1)"
223, "PABPC1 (2)"
224, "PABPC3"
225, "PABPC4"
226, "PABPC5"
227, "PABPN1"
228, "PABPN1L (1)"
229, "PABPN1L (2)"
230, "papi"
231, "PCBP1 (1)"
232, "PCBP1 (2)"
233, "PCBP1 (3)"
234, "PCBP1 (4)"
235, "PCBP1 (5)"
236, "PCBP2 (1)"
237, "PCBP2 (2)"
238, "PCBP2 (3)"
239, "PCBP2 (4)"
240, "PCBP2 (5)"
241, "PCBP2 (6)"
242, "PCBP2 (7)"
243, "PCBP4 (1)"
244, "PCBP4 (2)"
245, "PCBP4 (3)"
246, "PF100214"
247, "PF130315"
248, "PFF0320c"
249, "PFI1435w"
250, "PPRC1"
251, "PRR3 (1)"
252, "PRR3 (2)"
253, "PRR3 (3)"
254, "PTBP1 (1)"
255, "PTBP1 (2)"
256, "PTBP3 (1)"
257, "PTBP3 (2)"
258, "PUF60 (1)"
259, "PUF60 (2)"
260, "pUf68"
261, "pum (1)"
262, "pum (2)"
263, "pum (3)"
264, "pum (4)"
265, "pum (5)"
266, "pum (6)"
267, "PUM1 (1)"
268, "PUM1 (2)"
269, "QKI (1)"
270, "QKI (2)"
271, "qkr58E1"
272, "RALY"
273, "RALYL (1)"
274, "RALYL (2)"
275, "RBFOX2"
276, "RBFOX3"
277, "RBM3"
278, "RBM4 (1)"
279, "RBM4 (2)"
280, "RBM4 (3)"
281, "RBM4 (4)"
282, "RBM4 (5)"
283, "RBM4B (1)"
284, "RBM4B (2)"
285, "RBM4B (3)"
286, "RBM4B (4)"
287, "RBM5 (1)"
288, "RBM5 (2)"
289, "RBM6 (1)"
290, "RBM6 (2)"
291, "RBM6 (3)"
292, "RBM6 (4)"
293, "RBM6 (5)"
294, "RBM8A"
295, "RBM15B (1)"
296, "RBM15B (2)"
297, "RBM15B (3)"
298, "RBM22"
299, "RBM23 (1)"
300, "RBM23 (2)"
301, "RBM24 (1)"
302, "RBM24 (2)"
303, "RBM24 (3)"
304, "RBM25 (1)"
305, "RBM25 (2)"
306, "RBM25 (3)"
307, "RBM28"
308, "Rbm38"
309, "RBM41 (1)"
310, "RBM41 (2)"
311, "RBM41 (3)"
312, "RBM42"
313, "RBM45 (1)"
314, "RBM45 (2)"
315, "RBM45 (3)"
316, "RBM45 (4)"
317, "RBM45 (5)"
318, "RBM45 (6)"
319, "RBM45 (7)"
320, "RBM46"
321, "RBM47 (1)"
322, "RBM47 (2)"
323, "RBMS1"
324, "RBMS2 (1)"
325, "RBMS2 (2)"
326, "RBMS2 (3)"
327, "RBMS3 (1)"
328, "RBMS3 (2)"
329, "RBMS3 (3)"
330, "RBMS3 (4)"
331, "RBMS3 (5)"
332, "RBMS3 (6)"
333, "Rbp1"
334, "Rbp1like"
335, "Rbp9"
336, "RC3H1 (1)"
337, "RC3H1 (2)"
338, "RC3H1 (3)"
339, "RC3H1 (4)"
340, "ref2"
341, "Rnp4F"
342, "RO3G00049"
343, "Rox8"
344, "Rsf1"
345, "SAMD4A"
346, "SART3"
347, "SF1 (1)"
348, "SF1 (2)"
349, "SF1 (3)"
350, "SF1 (4)"
351, "SF2"
352, "sf3b4"
353, "SFPQ (1)"
354, "SFPQ (2)"
355, "SFPQ (3)"
356, "SFPQ (4)"
357, "SFPQ (5)"
358, "SFPQ (6)"
359, "SFPQ (7)"
360, "shep (1)"
361, "shep (2)"
362, "shep (3)"
363, "sm"
364, "Smp067420"
365, "SNRNP70"
366, "SNRPA (1)"
367, "SNRPA (2)"
368, "SNRPA (3)"
369, "SNRPA (4)"
370, "SNRPA (5)"
371, "SNRPA (6)"
372, "Srp54"
373, "SRSF1 (1)"
374, "SRSF1 (2)"
375, "SRSF1 (3)"
376, "SRSF1 (4)"
377, "SRSF1 (5)"
378, "SRSF1 (6)"
379, "SRSF2 (1)"
380, "SRSF2 (2)"
381, "SRSF2 (3)"
382, "SRSF2 (4)"
383, "SRSF4 (1)"
384, "SRSF4 (2)"
385, "SRSF4 (3)"
386, "SRSF5 (1)"
387, "SRSF5 (2)"
388, "SRSF5 (3)"
389, "SRSF5 (4)"
390, "SRSF5 (5)"
391, "SRSF8 (1)"
392, "SRSF8 (2)"
393, "SRSF9 (1)"
394, "SRSF9 (2)"
395, "SRSF9 (3)"
396, "SRSF9 (4)"
397, "SRSF9 (5)"
398, "SRSF10 (1)"
399, "SRSF10 (2)"
400, "SRSF11 (1)"
401, "SRSF11 (2)"
402, "STARPAP"
403, "sup12"
404, "sup26CONSTRUCT"
405, "Sxl"
406, "TAF15 (1)"
407, "TAF15 (2)"
408, "TAF15 (3)"
409, "TARDBP (1)"
410, "TARDBP (2)"
411, "Tbg97234300"
412, "Tbg97262300"
413, "Tbg97294840"
414, "Tbg97295210"
415, "Tbg972111000"
416, "Tbg9721117950CONS"
417, "THAPSDRAFT1841"
418, "TIA1 (1)"
419, "TIA1 (2)"
420, "TIA1 (3)"
421, "TIA1 (4)"
422, "tiar1"
423, "tiar3"
424, "tra2"
425, "TRA2A (1)"
426, "TRA2A (2)"
427, "TRNAU1AP (1)"
428, "TRNAU1AP (2)"
429, "TRNAU1AP (3)"
430, "TVAG002940"
431, "TVAG129710"
432, "TVAG267990"
433, "TVAG514790"
434, "U2AF2"
435, "U2af50"
436, "unc75"
437, "UNK (1)"
438, "UNK (2)"
439, "UNK (3)"
440, "UNK (4)"
441, "YB1 (1)"
442, "YB1 (2)"
443, "YBX2"
444, "ZC3H10"
445, "ZC3H14CONSTRUCT"
446, "ZCRB1 (1)"
447, "ZCRB1 (2)"
448, "ZFP36"
449, "ZNF326 (1)"
450, "ZNF326 (2)"
451, "ZNF326 (3)"
452, "ZNF326 (4)"
453, "ZNF638"
