motif, score
"262",0.416815698911091
"048",0.039088243613691
"074",0.160262234096513
"128",0.101990433575007
"100",0.09202805209665
"303",0.361283809344775
"115",0.34003936035691
"075",0.391655070891545
"277",0.063316476396501
"263",0.500882819009054
"288",0.071675965908706
"261",0.328972895123503
"077",0.138053335964106
"063",0.32183530737974
"103",0.175512808347894
"301",0.162929504758674
"116",0.379761009799261
"102",0.279208780253908
"076",0.651477214209544
"089",0.14305317324184
"260",0.049615790124495
"248",0.146414526038528
"264",0.354925753501831
"258",0.326893746615723
"099",0.07945787935162
"072",0.104971099116116
"066",0.128850153236872
"106",0.332931274821433
"112",0.088536994945199
"311",0.676505275011755
"107",0.294587954450024
"067",0.231293741898746
"073",0.180657642205979
"265",0.647723757752915
"271",0.161240477559366
"273",0.051274581961565
"065",0.086449478316126
"105",0.224809331028293
"307",0.701917174845292
"449",0.150615975625925
"448",0.183791353055065
"312",0.244119251763678
"104",0.202693797332919
"110",0.18641813500309
"070",0.073284264376244
"064",0.257871662110681
"272",0.355003605066247
"266",0.12657234997682
"299",0.106409035242972
"229",0.492458322306873
"201",0.067236081765405
"188",0.35527348939747
"163",0.15386685026586
"413",0.510949105074119
"375",0.517932450091211
"361",0.063950220094821
"360",0.133122803840671
"374",0.284648575165652
"189",0.357103522175332
"002",0.579649280785044
"214",0.054294812324374
"200",0.07604279783111
"228",0.068250224377782
"216",0.233155728449479
"202",0.12246248896734
"028",0.601926823120798
"014",0.311797421775123
"148",0.682686790322507
"438",0.091782146310012
"404",0.148589116044884
"362",0.133013435039663
"376",0.511637994750728
"377",0.112167321442849
"411",0.907142623059127
"405",0.144607103935197
"363",0.135858735904013
"175",0.073560775919459
"149",0.075194983263066
"015",0.173193403805919
"029",0.114099634083095
"203",0.148743344635397
"213",0.261834319102818
"207",0.130475455142046
"011",0.219682162370701
"005",0.23734059675556
"165",0.122261426274058
"171",0.110354668540666
"159",0.09894959446423
"398",0.151797603195687
"415",0.241778237755168
"373",0.224468992338701
"429",0.134107402031994
"428",0.080011151379935
"414",0.295592327043414
"372",0.16391604220003
"170",0.084081200507669
"164",0.11881396878517
"038",0.603375576095533
"206",0.129024333056589
"212",0.093161740041812
"204",0.134761631730112
"210",0.042740572012598
"006",0.668439613591565
"012",0.312499264383987
"199",0.175476494074117
"166",0.112229495584926
"416",0.214789020115757
"402",0.076807673412079
"364",0.160878684559702
"359",0.062859453603717
"403",0.335913387742377
"365",0.294460833662015
"417",0.137441736704709
"173",0.183749901742142
"198",0.327860328952181
"013",0.264675065039158
"007",0.534038600808863
"205",0.305211014253552
"208",0.433188149630591
"022",0.48780794763931
"195",0.183857125740209
"181",0.258530900447305
"156",0.091217649473992
"142",0.079629803237163
"397",0.064201532480049
"368",0.412833381572537
"432",0.688522774921618
"340",0.169300880585408
"341",0.131292980660742
"427",0.059866707596153
"433",0.19186063229891
"396",0.14967928966056
"143",0.087794432548165
"180",0.299590524725843
"194",0.111915948838314
"037",0.253874285366359
"023",0.16341574880785
"235",0.311859571028161
"221",0.547240528735305
"209",0.066443246393746
"009",0.344179919558952
"182",0.168950174376803
"196",0.630761278639438
"169",0.473957983187567
"155",0.639476858606562
"394",0.138096544157423
