motif, score
262,0.416815699
48,0.024742607
74,0.116840017
128,0.064890926
100,0.072898551
303,0.329019886
115,0.245647914
75,0.391655071
277,0.051096513
263,0.500882819
288,0.050009676
261,0.328972895
77,0.119898181
63,0.315773793
103,0.123425668
301,0.120080143
116,0.319797605
102,0.16249061
76,0.651477214
89,0.124157999
260,0.041973311
248,0.139403818
264,0.262915135
258,0.077093596
99,0.046527995
72,0.081275911
66,0.079084903
106,0.332624744
112,0.075037295
311,0.326541603
107,0.223479379
67,0.227593195
73,0.171040191
265,0.213185728
271,0.129598058
273,0.033282428
65,0.07069314
105,0.206455057
307,0.405140384
449,0.146282698
448,0.183441274
312,0.151625985
104,0.141761239
110,0.176641196
70,0.067040951
64,0.219210309
272,0.315512733
266,0.117850029
299,0.085857352
229,0.428483373
201,0.049339912
188,0.355273489
163,0.131431465
413,0.510949105
375,0.342913889
361,0.047205975
360,0.114938461
374,0.234291566
189,0.274184769
2,0.564219602
214,0.042595154
200,0.051796708
228,0.056641202
216,0.216921692
202,0.105668374
28,0.48388472
14,0.31114504
148,0.68268679
438,0.083285577
404,0.11258233
362,0.120753136
376,0.491284106
377,0.095178989
411,0.907142623
405,0.13316708
363,0.12202033
175,0.056192278
149,0.056556236
15,0.124296385
29,0.088726011
203,0.126000081
213,0.231948101
207,0.130040736
11,0.204882994
5,0.177957293
165,0.070203504
171,0.079816489
159,0.093156018
398,0.094736842
415,0.216264824
373,0.162088569
429,0.068587969
428,0.038951567
414,0.278603651
372,0.144589537
170,0.071133855
164,0.097228234
38,0.603375576
206,0.090953989
212,0.063288499
204,0.107498645
210,0.027356937
6,0.668439614
12,0.312499264
199,0.153020284
166,0.08612087
416,0.205444937
402,0.051303122
364,0.127701577
359,0.04407711
403,0.335913388
365,0.294460834
417,0.12994564
173,0.172437444
198,0.294280967
13,0.226783644
7,0.534038601
205,0.214306475
208,0.308081264
22,0.193369484
195,0.141189341
181,0.2585309
156,0.070554007
142,0.061876097
397,0.055800654
368,0.244225864
432,0.688522775
340,0.154447117
341,0.088135102
427,0.044317886
433,0.145388546
396,0.103705505
143,0.083763698
180,0.145001525
194,0.096735024
37,0.187832247
23,0.118750157
235,0.293285305
221,0.512194814
209,0.053578903
9,0.316382124
182,0.086891165
196,0.545368607
169,0.253052661
155,0.397215906
394,0.088315963
419,0.062509566
425,0.078946663
343,0.103001517
431,0.114156231
430,0.251810226
424,0.077798772
342,0.161718315
418,0.065089755
154,0.163576695
168,0.226725211
197,0.125805539
183,0.084615842
8,0.082323721
222,0.146392382
236,0.056975168
226,0.11747676
30,0.36973749
24,0.053689589
187,0.1298099
144,0.091651774
150,0.071968005
178,0.077704024
346,0.145362075
420,0.168643181
434,0.197562196
352,0.764554591
409,0.229083366
435,0.196735939
347,0.166425942
421,0.201473461
151,0.115447398
145,0.0860709
186,0.508288378
31,0.427391036
227,0.307100853
225,0.146763849
27,0.376675285
33,0.098458147
190,0.190258673
184,0.589928004
153,0.112832567
147,0.290348573
351,0.254827966
437,0.099828441
423,0.213296706
345,0.293154585
422,0.518137888
344,0.369028302
350,0.731866537
436,0.116767269
393,0.194078437
146,0.180572398
152,0.098912138
185,0.172604033
191,0.043516539
218,0.352733162
224,0.277885389
294,0.083904717
69,0.106996427
41,0.375257677
55,0.371899082
109,0.140167874
135,0.104129648
121,0.069286577
445,0.105417604
323,0.182470255
444,0.122663104
322,0.071496292
336,0.053783394
120,0.074784046
108,0.190308348
40,0.173536907
68,0.120952445
97,0.047920892
83,0.114298469
256,0.059424327
242,0.086562459
295,0.05706547
297,0.070384021
254,0.115088415
95,0.058989728
81,0.049100335
56,0.377267372
42,0.431997266
320,0.217557087
446,0.208069345
334,0.146220361
335,0.247216291
137,0.084472332
123,0.299155533
43,0.462958748
80,0.065396674
94,0.498903429
241,0.060613953
255,0.099598373
269,0.42088448
296,0.069793672
292,0.036426212
251,0.275323276
279,0.100755996
90,0.159065821
84,0.309672196
53,0.11625547
127,0.060160798
443,0.652274858
331,0.132385857
319,0.061955829
330,0.088242454
442,0.302634728
132,0.057431116
126,0.370412328
85,0.298318085
91,0.067737331
244,0.098207358
287,0.101025556
293,0.196341398
246,0.366106388
252,0.134109645
93,0.253052478
50,0.048598339
78,0.223379989
130,0.080434048
124,0.044787225
332,0.199042278
441,0.348487335
333,0.337892121
119,0.266800563
131,0.081620405
79,0.109209688
51,0.113819107
45,0.074481562
92,0.170728779
86,0.038584104
247,0.309489253
314,0.174768935
412,0.06379921
54,0.140459888
281,0.137581656
250,0.11995752
249,0.162880436
10,0.13950165
220,0.188800355
21,0.112234798
20,0.120369004
19,0.175079906
32,0.11577851
230,0.216032921
308,0.136082934
453,0.101381638
282,0.107499293
237,0.076483093
223,0.333333333
243,0.063543396
290,0.087848933
233,0.120087039
400,0.129977378
289,0.087086712
161,0.171897252
231,0.058893456
96,0.114417134
327,0.35613257
284,0.077401889
245,0.187941144
379,0.089051434
129,0.224822211
16,0.119373886
1,0.132856407
26,0.46755102
114,0.106548719
305,0.084699121
217,0.227356747
366,0.263667076
386,0.097129027
280,0.083385423
309,0.271491228
324,0.30108483
278,0.099442803
234,0.095351435
283,0.078209481
380,0.220891875
274,0.159132314
240,0.220880405
61,0.102433281
355,0.217692376
111,0.286207387
391,0.042962333
118,0.140960197
369,1
88,0.0962376
392,0.379882615
46,0.120847759
44,0.243163385
328,0.115527662
174,0.159185015
439,0.263961544
321,0.192914192
325,0.12998725
113,0.455343878
87,0.489127197
450,0.412404634
339,0.12111293
267,0.199025891
177,0.191744341
407,0.054938505
162,0.063758789
426,0.290325686
353,0.210663684
192,0.08352408
387,0.081745657
158,0.471640069
316,0.171847507
139,0.154995605
138,0.093097297
140,0.226648611
36,0.404833271
239,0.281698879
285,0.127608696
291,0.104952382
141,0.280799515
172,0.194065484
270,1
447,0.243251074
3,0.124467647
18,0.120508993
133,0.075281191
395,0.486409156
318,0.169670021
302,0.079811377
62,0.088045541
408,0.310018579
367,0.442503639
388,0.277402888
176,0.14618705
82,0.103027382
304,0.194095465
167,0.12379132
134,0.227739168
136,0.306820523
357,0.185981308
49,0.10965264
349,0.183399384
179,0.094751725
253,0.291273432
259,0.168259748
370,1
98,0.157147549
39,0.270376176
122,0.605672461
313,0.198477382
160,0.174780204
326,0.132972072
315,0.707731008
399,0.213809206
310,0.277056511
58,0.235294118
57,0.214285714
306,0.460560911
317,1
215,0.153837276
337,0.081488058
157,0.374036258
35,0.273182868
356,0.21097322
338,0.345082739
371,0.083333333
378,0.222222222
286,0.312121308
410,0.135087538
451,0.643230073
401,1
4,0.694182217
358,0.181902552
275,0.593667105
276,0.558190844
383,0.95370681
389,0.508279589
381,0.905716238
59,0.320668693
382,0.379257675
117,0.28220292
348,0.203192782
25,0.077407407
257,0.054666012
71,0.215035931
34,1
298,1
354,0.839004037
47,0.110827515
219,0.968115434
125,0.393876707
211,0.28518312
390,0.337391304
232,0.267781494
238,0.160913574
300,0.883687546
193,0.144706691
60,0.222676974
452,0.20030024
268,0.561394243
406,1
101,1
385,1
52,0.141241879
440,0.340803072
329,0.462613784
384,1
17,0.411000764
