-2.67377637701535	5.19277209689505e-224	retina	fgfr2	0.371	0.453105968331303
-2.93542263375032	1.38209311086106e-175	retina	lrp2a	0.169	0.255639097744361
-3.66002263449018	1.14812935197018e-170	retina	sox13	0.13	0.2096
-5.59748267518745	1.17835605182962e-159	retina	fgfr3	0.063	0.116575591985428
-3.20144641075749	5.01983082215783e-152	retina	zbtb16b	0.162	0.265040650406504
-3.4276852138763	1.13991313876204e-149	retina	lrig1	0.166	0.273322422258592
-3.59979205191649	2.76054534827484e-135	retina	greb1	0.079	0.15180265654649
-1.84762060070429	4.76362594307931e-124	retina	znrf3	0.444	0.598923283983849
-2.63743258377075	7.88509531191411e-117	retina	pvrl2l	0.148	0.26654740608229
-3.16123807356209	6.71018401727427e-106	retina	ddr1	0.094	0.198744769874477
-2.05705818765806	2.52215838221175e-104	retina	adgrv1	0.31	0.480680061823802
-3.87449810546991	3.37662276158248e-99	retina	epha2a	0.064	0.150462962962963
-3.39910417834432	2.54300226525167e-97	retina	efna2a	0.15	0.300198807157058
-3.33895872555374	3.835275684435e-94	retina	ntn1a	0.084	0.190156599552573
-1.61086163337697	7.31714961401688e-92	retina	sipa1l2	0.43	0.62463768115942
-3.26156568643982	2.49423448778841e-89	retina	brsk2b	0.075	0.178823529411765
-1.64673289410182	1.3970046217992e-88	retina	cadm1a	0.402	0.589181286549708
-1.91500402532042	4.15414083974429e-88	retina	notch3	0.247	0.42832469775475
-1.9981390375515	3.88969817711424e-87	retina	zfhx4	0.307	0.506578947368421
-3.53954946447732	3.89685903040753e-86	retina	hs3st3b1b	0.056	0.144303797468354
-1.89519646568153	3.5931034235415e-84	retina	BX284638.2	0.219	0.394973070017953
-4.12884515854994	3.32157427654584e-83	retina	BX569787.1	0.059	0.15625
-1.72512031726328	6.66865578736824e-83	retina	cachd1	0.414	0.62406015037594
-1.55471923393887	2.14045513431256e-77	retina	tmem132e	0.321	0.521880064829822
-2.72673013862862	1.46738414859154e-75	retina	greb1l	0.155	0.336933045356371
-2.97565036405457	6.50901901860393e-74	retina	rassf7a	0.086	0.222506393861893
-1.48622748578397	2.35668827805554e-73	retina	jag2b	0.451	0.655072463768116
-1.5061694808763	1.85096986916891e-71	retina	celsr1b	0.306	0.51510067114094
-2.54196718993074	6.13894228285533e-70	retina	si:ch211-286o17.1	0.149	0.337837837837838
-2.99842993882442	7.02659011079278e-70	retina	zfhx3	0.064	0.179558011049724
-1.94980682301294	3.52329689446898e-65	retina	ptch1	0.22	0.447368421052632
-1.71216658577866	3.74772727385215e-64	retina	notch1b	0.29	0.524324324324324
-2.64513515927693	7.42299093585298e-63	retina	lrrn1	0.096	0.255263157894737
-1.50566929979247	9.88323157533862e-63	retina	ptprnb	0.328	0.554806070826307
-3.16209026546103	1.5510684337969e-62	retina	lamb2l	0.056	0.173780487804878
-1.28478513042792	3.93240819884252e-62	retina	arvcfb	0.397	0.621875
-2.80648674027006	2.17584712732898e-60	retina	scube2	0.113	0.297650130548303
-1.55529506886429	6.53011087645512e-60	retina	cldn5a	0.278	0.511926605504587
-2.18652559754092	1.51061182394893e-59	retina	mdkb	0.173	0.393665158371041
-2.07197531805217	9.20874833178604e-59	retina	rfx2	0.17	0.391304347826087
-2.18347512863614	6.2407012704275e-58	retina	cspg5a	0.121	0.309644670050761
-3.00021139132815	1.50012406531574e-57	retina	myh14	0.065	0.203076923076923
-3.72151457096115	2.61105526705971e-56	retina	elavl3	0.058	0.187301587301587
-1.89058202899716	7.25748404101699e-56	retina	ago1	0.18	0.410430839002268
-1.52914659453383	4.34435753224537e-55	retina	plxna1a	0.395	0.648117839607201
-1.50313642680818	6.03957923130216e-55	retina	ptprn2	0.36	0.612903225806452
-3.26955357786437	7.57879647316898e-53	retina	kirrel3l	0.09	0.271641791044776
-1.41287984302121	4.36700839538382e-52	retina	bach2b	0.273	0.518939393939394
-2.950352769103	5.85273719638633e-52	retina	arhgef10lb	0.057	0.193333333333333
-2.85388595458608	5.59560480735352e-51	retina	pag1	0.079	0.246913580246914
-3.11285640056573	2.0113827279257e-50	retina	fgfbp3	0.05	0.178947368421053
-2.20375555443366	2.20986971760977e-50	retina	axin2	0.136	0.358638743455497
-2.01360443322319	3.09332688511149e-48	retina	PHF21B	0.119	0.326086956521739
-2.26753962692823	4.21614711424791e-48	retina	FRMD5	0.107	0.308571428571429
-2.98094304040984	4.64424914562604e-48	retina	neo1b	0.053	0.192170818505338
-2.50665760429	1.05644739636701e-47	retina	nr2f1b	0.154	0.403645833333333
-2.03410796233989	1.89838847312197e-47	retina	rnf165a	0.194	0.457746478873239
-2.19823130560763	2.7967464040995e-47	retina	setbp1	0.134	0.364864864864865
-1.87176371195305	3.85244489383871e-46	retina	nkd1	0.161	0.403990024937656
-1.47573089816381	4.31902450983444e-46	retina	si:ch73-386h18.1	0.241	0.503118503118503
-1.93258449387702	9.37441754458305e-46	retina	gpm6bb	0.17	0.424317617866005
-2.70384345115725	7.64045592057106e-45	retina	ackr3b	0.068	0.235494880546075
-3.54608558377951	8.11442599769435e-45	retina	chl1a	0.062	0.223404255319149
-2.02593730175124	4.68339102269821e-44	retina	celsr1a	0.119	0.342857142857143
-1.92358890704875	6.14313692778057e-44	retina	tead1b	0.172	0.4325
-1.55246228797154	1.30082414362836e-42	retina	nav2a	0.261	0.539094650205761
-1.19333225670829	9.76859361476443e-42	retina	blmh	0.345	0.622302158273381
-2.44414745005504	7.24361435517881e-40	retina	robo3	0.099	0.32258064516129
-1.5497230400993	1.12340909609325e-39	retina	nxn	0.229	0.518018018018018
-2.48419743688685	2.58936555861628e-38	retina	plxnb1a	0.088	0.304794520547945
-3.23648575679365	4.24974896693406e-38	retina	rnf220a	0.127	0.396284829721362
-1.47453011822077	7.08581104024722e-38	retina	sdc4	0.199	0.480769230769231
-1.3743291480442	1.26670586436423e-37	retina	auts2a	0.225	0.51131221719457
-2.74547737531851	2.59141899218166e-36	retina	ephb4b	0.053	0.221311475409836
-1.74872753514898	5.24080446141166e-36	retina	tnika	0.139	0.404624277456647
