1	38398696	38415158	hpgd
1	56943492	56948694	havana
1	44707054	44710937	pold4
1	31809173	31856676	nt5c2b
1	7574351	7603734	mxb
1	20733102	20826023	tll1
1	56950797	56951369	ensembl_havana
1	56955349	56960001	havana
1	17527342	17536307	casp3a
1	56972616	56981521	havana
1	25886437	25911901	USP53
1	53881844	53907092	capn9
1	40237276	40258430	faah2a
1	22647756	22652424	uchl1
1	51191049	51197601	btbd3a
1	58608978	58613487	ensembl_havana
1	58613972	58618868	ensembl_havana
1	45616067	45636362	septin3
1	56992262	56996143	havana
1	45570059	45616470	atf7ip
1	46888033	46924801	pdxkb
1	20839482	20911297	cpe
1	57004178	57008386	havana
1	12135129	12138612	spink4
1	43686251	43692141	cisd2
1	49568335	49605854	col17a1a
1	57013640	57016780	havana
1	58620953	58622498	zgc:174890
1	59067978	59072128	MFAP4
1	35494837	35609659	gab1
1	29862074	29953746	pcca
1	46948010	46957351	TMPRSS3
1	25917591	25936679	myoz2b
1	245076	258138	grk1a
1	57040472	57044846	ensembl_havana
1	40263671	40270561	TXN
1	20916551	20928772	msmo1
1	1712140	1793371	atp1a1a.1
1	57050899	57059786	havana
1	59101838	59104160	ensembl_havana
1	43695033	43727613	SLC9B2
1	59073203	59089598	mfap4.2
1	1789357	1796832	atp1a1a.2
1	43714149	43727576	bdh2
1	59094416	59096190	MFAP4
1	59090583	59092056	mfap4.1
1	20932052	20970266	KLHL2
1	59075795	59104145	MFAP4
1	59073203	59074515	MFAP4
1	20929437	20930443	havana
1	20936711	20938512	havana
1	10636064	10640748	zgc:174945
1	52518176	52538517	tacr3l
1	57118783	57120505	havana
1	44710955	44737931	SSRP1
1	12141876	12161148	ensembl_havana
1	38665754	38753029	havana
1	38649141	38756904	gpm6ab
1	7632119	7659870	efnb2b
1	55264025	55270966	si:ch211-286b5.5
1	10662312	10663525	havana
1	10667447	10669436	ensembl_havana
1	7662091	7673376	arglu1b
1	10642322	10647484	ensembl_havana
1	25959084	25966411	ensembl_havana
1	10672843	10682149	havana
1	57128562	57129299	ensembl_havana
