1	10809604	10821584	crfb15
1	11781544	11850353	ttyh3b
1	17537451	17587552	acsl1a
1	19083501	19092155	exosc9
1	19418380	19431510	lap3
1	19433004	19466453	clockb
1	19637312	19648227	polr1e
1	19759370	19764038	tma16
1	19764995	19802602	fnip2
1	2101541	2217861	mbnl2
1	21610471	21714025	zcchc7
1	2260407	2299553	kpnb3
1	23783349	23912788	slit2
1	24520503	24558838	gatb
1	26110985	26127944	mtap
1	28067771	28089650	snapc3
1	28898945	28950366	pwp2h
1	29068649	29093562	cbsa
1	29664336	29743640	raph1b
1	29831759	29860895	zic2b
1	29862074	29953746	pcca
1	31674297	31699955	wbp1lb
1	35896488	35929143	smad1
1	35956435	35970259	mmaa
1	36771954	36913091	arhgap10
1	36935154	37087966	nr3c2
1	38649141	38756904	gpm6ab
1	40909750	40911332	hmx4
1	40912613	40914752	hmx1
1	44390470	44394499	timm10
1	44523516	44566433	zdhhc5a
1	49435017	49481173	pdcd11
1	49951707	50065603	gstcd
1	50198607	50293948	tbck
1	51202984	51219965	esf1
1	53701801	53714885	cct4
1	5437390	5504130	atic
1	58981985	58985885	thumpd1
1	960209	999556	gart
