gene_name	Degree	log2FC	padj	pct	pct.dif	Degree_norm_0_100	pct.dif_norm_100	pct_norm_100	padj_log	padj_log_norm_100	log2FC_abs	log2FC_abs_norm_100	score_norm	TF
atic	1	1.00032653542543	6.90964772103984e-14	0.185	2.04395604395604	0	5.82020228954671	17.3154362416107	13.1591507069837	81.5782703386246	1.00032653542543	10.8812732567493	14.4493977658164	NO
BHLHE40	3	1.78002348361801	5.03151305187685e-14	0.063	3.55555555555556	9.52380952380952	11.0785224847312	0.939597315436242	13.2963890374948	82.591803947346	1.78002348361801	26.5044760160177	19.9012047323462	YES
CLOCKA	1	0.937727370522094	5.88936137736215e-39	0.542	1.69158878504673	0	4.59444119381574	65.2348993288591	15.653559774527	100	0.937727370522094	9.62694047000081	22.4320351240845	YES
clockb	4	0.797196201414861	3.38830890617058e-13	0.281	1.73006134969325	14.2857142857143	4.72827364221821	30.2013422818792	12.4697324915312	76.4867734570798	0.797196201414861	6.81104263424701	21.9212861447852	NO
CLOCKB	1	0.797196201414861	3.38830890617058e-13	0.281	1.73006134969325	0	4.72827364221821	30.2013422818792	12.4697324915312	76.4867734570798	0.797196201414861	6.81104263424701	14.778429001928	YES
ctnna2	15	-2.4055424878165	1.72360316046186e-23	0.088	0.370833333333333	66.6666666666667	0	4.29530201342282	15.6535597408153	99.9999997510317	2.4055424878165	39.0383332473722	51.2500377098117	NO
CUX2B	1	1.65664963347902	7.41846497263278e-38	0.174	3.30188679245283	0	10.1960985558566	15.8389261744966	15.653559774527	100	1.65664963347902	24.0323685127356	18.7584241553861	YES
E2F4	1	1.07664803619595	6.55798784671748e-28	0.324	1.96969696969697	0	5.56188122840864	35.9731543624161	15.6535597745257	99.9999999999905	1.07664803619595	12.4105677912394	19.2432004227568	YES
ESRRA	3	1.27463261551278	1.40626616639089e-10	0.108	2.3695652173913	9.52380952380952	6.95288146764476	6.97986577181208	9.85193178614483	57.1537708916744	1.27463261551278	16.3776901880187	15.6949308017985	YES
FOXO3B	2	1.14335410953193	2.99828408695324e-07	0.12	2.01666666666667	4.76190476190476	5.72527219555451	8.59060402684564	6.52312721988159	32.5698569646583	1.14335410953193	13.7471928882318	9.96006814036366	YES
FOXP1B	8	0.886052720679153	1.66958240978985e-55	0.722	1.58205689277899	33.3333333333333	4.21341847138923	89.3959731543624	15.653559774527	100	0.886052720679153	8.59150800629562	41.9417791206726	YES
gart	9	1.37588226045519	8.07508081859552e-32	0.229	2.5	38.0952380952381	7.40661795424899	23.2214765100671	15.653559774527	100	1.37588226045519	18.4064832157535	37.6769412576278	NO
gpm6ab	7	1.54332507475742	8.37202073218225e-16	0.095	3	28.5714285714286	9.14594115289846	5.23489932885906	14.9750028892966	94.9887163006944	1.54332507475742	21.7616240105077	30.6771118848342	NO
HLFA	6	3.19217667513831	2.28974519959185e-29	0.056	7.125	23.8095238095238	23.4953575417566	0	15.653559774527	99.9999999999997	3.19217667513831	54.8005411595487	34.191749242425	YES
hmx1	22	3.72233042106894	3.91924013204276e-110	0.152	11.7692307692308	100	39.6509941753662	12.8859060402685	15.653559774527	100	3.72233042106894	65.4235139510416	77.2450517708345	NO
HMX1	5	3.72233042106894	3.91924013204276e-110	0.152	11.7692307692308	19.047619047619	39.6509941753662	12.8859060402685	15.653559774527	100	3.72233042106894	65.4235139510416	36.7688612946441	YES
hmx4	22	3.1736120500897	8.16120399380194e-131	0.196	10.3684210526316	100	34.778072501417	18.7919463087248	15.653559774527	100	3.1736120500897	54.4285518860796	75.9998213370277	NO
HMX4	1	3.1736120500897	8.16120399380194e-131	0.196	10.3684210526316	0	34.778072501417	18.7919463087248	15.653559774527	100	3.1736120500897	54.4285518860796	25.9998213370277	YES
JUNBB	8	1.15486431777011	3.26556522147664e-10	0.113	2.28	33.3333333333333	6.64131574684322	7.6510067114094	9.4860413425716	54.4515938811389	1.15486431777011	13.9778290572246	27.0068848412437	YES
lap3	4	1.04199979069122	0.000898381235184935	0.062	2.17241379310345	14.2857142857143	6.26706137582348	0.805369127516778	3.04653932791829	6.89453244668134	1.04199979069122	11.7163024538822	10.3532653183451	NO
LHX9	2	1.40366631559021	2.53810873226629e-68	0.254	3.80597014925373	4.76190476190476	11.9496263089304	26.5771812080537	15.653559774527	100	1.40366631559021	18.9632071170787	22.0672042102102	YES
mmaa	4	1.29651539230258	9.97862210503434e-10	0.097	2.39024390243902	14.2857142857143	7.02481530088689	5.50335570469799	9.00092932735327	50.8689407725858	1.29651539230258	16.8161670340746	17.1695169943878	NO
MNTA	3	0.756961374348966	1.19589429924874e-09	0.215	1.77049180327869	9.52380952380952	4.86891689392436	21.3422818791946	8.92230712372585	50.2882994497765	0.756961374348966	6.00483598858586	15.0749465383399	YES
mtap	4	0.723253349893025	1.20410554411791e-07	0.205	1.70247933884298	14.2857142857143	4.63232557954365	20	6.91933544315852	35.495937082708	0.723253349893025	5.32941036083353	15.3250662707428	NO
MYB	2	2.13897419426558	4.63194274742488e-38	0.138	3.97142857142857	4.76190476190476	12.5251976531317	11.006711409396	15.653559774527	100	2.13897419426558	33.6969624635154	22.0345613217078	YES
MYBL1	3	1.77158612434861	3.10482255755263e-31	0.15	3.21276595744681	9.52380952380952	9.88607868423866	12.6174496644295	15.653559774527	100	1.77158612434861	26.3354121573939	23.3667723251625	YES
MYCN	2	1.39672475692443	7.82820853019604e-85	0.541	2.28691983122363	4.76190476190476	6.66538739279922	65.1006711409396	15.653559774527	100	1.39672475692443	18.8241154113176	26.2047241240844	YES
NR1D2A	7	2.07306692079119	7.87239089518766e-52	0.172	4.11904761904762	28.5714285714286	13.0387121213044	15.5704697986577	15.653559774527	100	2.07306692079119	32.3763433445258	34.4089049437753	YES
NR3C2	2	3.30953961618506	1.4269728946588e-43	0.085	7.16666666666667	4.76190476190476	23.640301141644	3.89261744966443	15.653559774527	100	3.30953961618506	57.1522048779304	25.4665928146072	YES
