aars1	0.699441963197697	7.56485898904827e-14	0.357	1.58407079646018
aass	0.612816840371028	1.4141743455607e-06	0.198	1.6864406779661
aatf	1.01141379827269	3.18465250460424e-26	0.299	2.05479452054795
abcb7	0.714547789138594	4.58420123349422e-10	0.266	1.6583850931677
abce1	0.550996044698698	1.46227353742617e-08	0.31	1.57070707070707
abcf2a	0.765107610212896	5.99472603411299e-14	0.278	1.75471698113208
abt1	1.10882473311181	1.75462962435435e-17	0.181	2.21951219512195
acaca	1.20529835875898	1.26926007805529e-16	0.157	2.32352941176471
ackr3b	-2.70384345115725	7.64045592057106e-45	0.068	0.235494880546075
acot7	1.56141339416579	2.03430978973867e-30	0.16	3.0377358490566
acsl1a	2.08885343492107	7.42619327141662e-34	0.118	4.10344827586207
acsl4a	0.985156195325433	1.27441536321855e-19	0.244	2.02479338842975
acss2l	1.05914986788568	0.000309951717831528	0.085	2
acvr2bb	-0.871926235915427	5.5354179865082e-11	0.19	0.612179487179487
acyp2	5.16051007186503	2.99993061183617e-99	0.103	26
adam12	0.998102204952021	2.45771783837783e-07	0.124	1.953125
ADAMTS7	-1.05549782207319	0.00324141208316299	0.099	0.617283950617284
adamts9	2.87079439329431	2.89950435478247e-121	0.284	5.27777777777778
adarb2	0.827917601751428	1.51591726647442e-07	0.131	1.97014925373134
adat1	0.784142976658011	0.00330979678765376	0.094	1.86274509803922
adat2	0.856467043339961	3.75824171751102e-13	0.223	1.88235294117647
adck1	0.704488310190768	2.60771811688696e-12	0.273	1.7125
adcy6b	1.05842135723075	3.84321121317261e-31	0.322	2.0974025974026
adgrv1	-2.05705818765806	2.52215838221175e-104	0.31	0.480680061823802
adi1	0.911312994608138	2.53924314588122e-05	0.107	1.96363636363636
adkb	1.76774449527589	4.51454834996633e-11	0.059	3.33333333333333
agap3	-1.07869610820122	5.42602743440107e-09	0.162	0.617424242424242
ago1	-1.89058202899716	7.25748404101699e-56	0.18	0.410430839002268
ago4	0.611213832333174	1.0981206058472e-06	0.207	1.65079365079365
agpat5	0.773162781769037	2.39005269986833e-09	0.21	1.75833333333333
agps	0.860776255525333	2.07707399457157e-05	0.107	1.96363636363636
ahctf1	0.650229605615869	6.47586512431177e-15	0.393	1.56972111553785
ahcy	1.48351035946904	1.70991338673981e-61	0.382	2.51973684210526
ahr1b	3.1795252685603	3.04039343198415e-135	0.213	9.30434782608696
aif1l	0.449883210801719	2.15031689869232e-06	0.305	1.5
aifm1	1.13293903462662	2.84136116470448e-25	0.252	2.2
aimp2	0.993804832648106	0.00708227490274538	0.071	2
ak2	0.676336954936775	7.71553631243788e-11	0.272	1.67484662576687
akap1b	0.888924710182053	5.74344611681366e-14	0.191	2.04255319148936
akr7a3	1.22711283483641	5.23258212204878e-05	0.061	2.38461538461538
akt1s1	0.909046389615153	0.00188112216128774	0.075	2
AL928908.2	1.59023781591225	1.80845696611681e-31	0.162	3.07547169811321
AL935115.1	4.36012059866163	0	0.349	16.6666666666667
AL954696.1	1.12855833585361	3.77779033374652e-07	0.091	2.24390243902439
alad	1.10938208441892	0.000102651114492084	0.072	2.21212121212121
alcama	0.473762248790323	2.39090462139225e-05	0.138	1.80519480519481
aldh18a1	1.95588009429578	6.86759946742674e-24	0.091	4
aldh1a2	5.61838896074052	9.40266375420615e-167	0.17	24.4285714285714
aldh4a1	1.31294524066855	6.91266112438153e-25	0.159	2.80701754385965
aldh6a1	1.38514129468061	1.62890642843802e-32	0.209	2.69230769230769
