1 10709604 10921584 crfb15
1 11681544 11950353 ttyh3b
1 17437451 17687552 acsl1a
1 18983501 19192155 exosc9
1 19318380 19531510 lap3
1 19333004 19566453 clockb
1 19537312 19748227 polr1e
1 19659370 19864038 tma16
1 19664995 19902602 fnip2
1 2001541 2317861 mbnl2
1 21510471 21814025 zcchc7
1 2160407 2399553 kpnb3
1 23683349 24012788 slit2
1 24420503 24658838 gatb
1 26010985 26227944 mtap
1 27967771 28189650 snapc3
1 28798945 29050366 pwp2h
1 28968649 29193562 cbsa
1 29564336 29843640 raph1b
1 29731759 29960895 zic2b
1 29762074 30053746 pcca
1 31574297 31799955 wbp1lb
1 35796488 36029143 smad1
1 35856435 36070259 mmaa
1 36671954 37013091 arhgap10
1 36835154 37187966 nr3c2
1 38549141 38856904 gpm6ab
1 40809750 41011332 hmx4
1 40812613 41014752 hmx1
1 44290470 44494499 timm10
1 44423516 44666433 zdhhc5a
1 49335017 49581173 pdcd11
1 49851707 50165603 gstcd
1 50098607 50393948 tbck
1 51102984 51319965 esf1
1 53601801 53814885 cct4
1 5337390 5604130 atic
1 58881985 59085885 thumpd1
1 860209 1099556 gart
